Date,Price,Open,High,Low,Vol,d1_diff_rate
"Sep 04, 2020",866.04,841.37,866.9,841.37,1.73B,-0.93
"Sep 03, 2020",874.13,871.02,874.16,869.84,1.76B,0.85
"Sep 02, 2020",866.74,859.58,866.87,858.23,1.84B,1.57
"Sep 01, 2020",853.37,850.58,854.22,847.53,1.84B,0.6
"Aug 31, 2020",848.24,847.97,852.54,839.63,1.89B,0.82
"Aug 28, 2020",841.3,841.76,850.38,837.86,2.11B,0.59
"Aug 27, 2020",836.4,842.38,842.83,832.74,2.95B,-0.59
"Aug 26, 2020",841.35,838.86,842.48,827.27,2.15B,0.6
"Aug 25, 2020",836.31,821.53,836.41,820.02,1.61B,2.52
"Aug 24, 2020",815.74,798.2,815.74,787.93,1.52B,2.48
"Aug 21, 2020",796.01,801.14,802.7,781.41,1.66B,0.62
"Aug 20, 2020",791.14,816.63,821.11,785,1.81B,-3.37
"Aug 19, 2020",818.74,810.86,818.74,805.52,1.60B,2.31
"Aug 18, 2020",800.22,834.55,834.55,794.91,1.90B,-4.17
"Aug 14, 2020",835.03,854.71,854.71,831.15,1.73B,-2.31
"Aug 13, 2020",854.77,854.82,862.98,852.15,1.81B,1.08
"Aug 12, 2020",845.6,858.88,858.88,836.58,1.67B,-1.7
"Aug 11, 2020",860.23,863.07,863.72,858,1.53B,-0.29
"Aug 10, 2020",862.76,859.53,863.8,854.48,1.46B,0.6
"Aug 07, 2020",857.63,858.3,859.43,849.01,1.40B,0.41
"Aug 06, 2020",854.12,854.02,855.73,847.9,1.50B,0.81
"Aug 05, 2020",847.28,837.19,847.38,837.11,1.52B,1.43
"Aug 04, 2020",835.35,833.28,835.35,830.55,1.51B,0.94
"Aug 03, 2020",827.57,820.41,827.79,815.15,1.52B,1.5
"Jul 31, 2020",815.3,817.52,818.7,814.23,1.36B,0.14
"Jul 30, 2020",814.19,812.83,814.41,808.02,1.30B,0.69
"Jul 29, 2020",808.59,807.71,809.77,804.29,1.18B,0.09
"Jul 28, 2020",807.85,807.29,810.97,802.04,1.55B,0.83
"Jul 27, 2020",801.23,795.19,804.58,795.19,1.29B,0.81
"Jul 24, 2020",794.8,796.08,804.61,788.72,1.46B,-0.86
"Jul 23, 2020",801.69,796.46,803.07,792.27,1.38B,0.84
"Jul 22, 2020",794.99,790.58,795.32,785.97,1.48B,0.56
"Jul 21, 2020",790.58,787.3,792.2,785.75,1.50B,1.1
"Jul 20, 2020",781.96,786.25,786.29,776.97,1.40B,-0.16
"Jul 17, 2020",783.22,776.97,783.32,775.78,1.37B,1.05
"Jul 16, 2020",775.07,783.24,783.24,769.39,1.63B,-0.8
"Jul 15, 2020",781.29,783.14,783.29,775.96,1.53B,0.37
"Jul 14, 2020",778.39,776.19,782.7,775.29,1.64B,-0.36
"Jul 13, 2020",781.19,777.92,781.19,773.08,1.40B,1.08
"Jul 10, 2020",772.81,773.75,775.99,766.51,1.33B,-0.01
"Jul 09, 2020",772.9,770.46,774.5,769.31,1.47B,0.91
"Jul 08, 2020",765.96,761.19,765.96,758.38,1.31B,0.9
"Jul 07, 2020",759.16,763.4,764.46,755.44,1.29B,-0.1
"Jul 06, 2020",759.9,754.74,759.93,750.43,1.14B,1.03
"Jul 03, 2020",752.18,746.13,752.22,741.11,1.29B,1.3
"Jul 02, 2020",742.55,732.94,742.55,732.09,1.16B,2.06
"Jul 01, 2020",727.58,743.53,744.03,726.36,1.18B,-1.41
"Jun 30, 2020",737.97,744.54,744.54,731.76,1.64B,0.45
"Jun 29, 2020",734.69,743.88,747.3,732.86,1.35B,-2.12
"Jun 26, 2020",750.58,758.62,758.62,742.57,1.52B,0.03
"Jun 25, 2020",750.36,749.81,757.23,745.98,1.36B,-1.2
"Jun 24, 2020",759.5,758.15,765.21,755.12,1.33B,0.83
"Jun 23, 2020",753.23,758.61,761.37,744.26,1.58B,0.21
"Jun 22, 2020",751.64,742.98,752.98,741.78,1.34B,1.3
"Jun 19, 2020",742.03,743.35,743.94,732.55,1.53B,0.64
"Jun 18, 2020",737.33,738.11,743.12,732.92,1.24B,0.26
"Jun 17, 2020",735.4,731.91,743.11,717.68,1.41B,0
"Jun 16, 2020",735.38,716.6,735.74,714.14,1.32B,6.09
"Jun 15, 2020",693.15,745.6,747.21,693.15,1.47B,-7.09
"Jun 12, 2020",746.06,722.91,747.37,722.81,1.32B,-1.45
"Jun 11, 2020",757.06,760.07,766.96,752.04,1.45B,-0.21
"Jun 10, 2020",758.62,754.3,759.48,752.29,1.58B,0.64
"Jun 09, 2020",753.82,756.02,756.45,746.56,1.53B,0.1
"Jun 08, 2020",753.04,754.12,754.32,747.37,1.33B,0.5
"Jun 05, 2020",749.31,743.65,749.75,739.52,1.13B,0.93
"Jun 04, 2020",742.37,742.87,744.36,733.91,1.31B,0.64
"Jun 03, 2020",737.66,749.49,750.14,734.63,1.48B,-0.8
"Jun 02, 2020",743.58,737.67,743.7,735.06,1.46B,1.07
"Jun 01, 2020",735.72,716.96,735.72,716.83,1.28B,3.09
"May 29, 2020",713.68,706.16,714.51,700.84,1.47B,0.7
"May 28, 2020",708.75,728.76,728.8,695.3,2.10B,-2.19
"May 27, 2020",724.59,728.26,730.41,722.04,1.57B,-0.62
"May 26, 2020",729.11,723.28,729.16,718.81,1.55B,1.28
"May 25, 2020",719.89,712.88,719.89,708.6,1.60B,1.6
"May 22, 2020",708.58,717.78,719.15,702.5,1.70B,-1.04
"May 21, 2020",716.02,714.33,716.72,711.71,1.99B,1.02
"May 20, 2020",708.76,697.15,709.16,697.09,2.07B,1.78
